Name,Pos,Team,Salary,My_Proj,Source,ML_Prediction,PPG_Projection,Prob_Over_5,Prob_Over_10,Prob_Over_15,Prob_Over_20,Prob_Over_25,Prob_Over_30,Prob_Over_35,Prob_Over_40,Prob_Over_45,Prob_Over_50
Kristian Campbell,2B,BOS,2800,4.6,PPG_Projection,4.6,4.6,,,,,,,,,,
Keibert Ruiz,C,WAS,3400,4.554142096199389,ML_Model,4.554142096199389,5.4,47.8%,24.8%,9.6%,2.7%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Otto Kemp,1B,PHI,3700,4.363231076103734,ML_Model,4.363231076103734,6.5,46.8%,24.1%,9.2%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Cedric Mullins,OF,BAL,3500,4.324274146496758,ML_Model,4.324274146496758,6.4,46.6%,23.9%,9.1%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Royce Lewis,3B,MIN,2800,4.274445162098927,ML_Model,4.274445162098927,6.8,46.4%,23.7%,9.0%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Ronny Mauricio,2B,NYM,2700,4.235612434859835,ML_Model,4.235612434859835,3.7,46.2%,23.6%,8.9%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Isaac Collins,OF,MIL,3300,4.234657414358317,ML_Model,4.234657414358317,7.5,46.2%,23.6%,8.9%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Tyler Heineman,C,TOR,4200,4.199301319092612,ML_Model,4.199301319092612,3.0,46.0%,23.4%,8.8%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Anthony Volpe,SS,NYY,3900,4.12097755533195,ML_Model,4.12097755533195,6.9,45.6%,23.1%,8.7%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
John Rave,OF,KC,2100,4.111455608614355,ML_Model,4.111455608614355,5.9,45.6%,23.1%,8.7%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Nick Loftin,2B,KC,2900,4.055357170282925,ML_Model,4.055357170282925,5.3,45.3%,22.9%,8.6%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Darren Baker,2B,WAS,2100,3.9,PPG_Projection,3.9,3.9,,,,,,,,,,
Eric Wagaman,1B,MIA,3300,3.892429963303285,ML_Model,3.892429963303285,5.7,44.5%,22.3%,8.3%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Maikel Garcia,3B,KC,4100,3.841741769030482,ML_Model,3.841741769030482,7.8,44.2%,22.1%,8.2%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Drew Pomeranz,P,CHC,4000,3.8,PPG_Projection,3.8,3.8,,,,,,,,,,
Jackson Holliday,2B,BAL,3800,3.786600988395091,ML_Model,3.786600988395091,6.9,44.0%,21.9%,8.1%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Noelvi Marte,3B,CIN,3700,3.733122151377235,ML_Model,3.733122151377235,7.0,43.7%,21.7%,8.0%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Brady House,3B,WAS,2900,3.719379175713988,ML_Model,3.719379175713988,5.9,43.6%,21.6%,7.9%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Dane Myers,OF,MIA,3200,3.692096985709054,ML_Model,3.692096985709054,6.0,43.5%,21.5%,7.9%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Myles Straw,OF,TOR,2300,3.659867320144584,ML_Model,3.659867320144584,5.4,43.3%,21.4%,7.8%,2.1%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Luis Rengifo,3B,LAA,3000,3.657523887356567,ML_Model,3.657523887356567,6.4,43.3%,21.4%,7.8%,2.1%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Logan O'Hoppe,C,LAA,3700,3.646026394501013,ML_Model,3.646026394501013,6.7,43.3%,21.4%,7.8%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Brooks Lee,2B,MIN,3000,3.522705963853784,ML_Model,3.522705963853784,6.9,42.7%,20.9%,7.6%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Nick Allen,SS,ATL,2300,3.2840274946070185,ML_Model,3.2840274946070185,4.4,41.5%,20.1%,7.2%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Tyrone Taylor,OF,NYM,3000,3.234179540433884,ML_Model,3.234179540433884,5.1,41.3%,19.9%,7.1%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Victor Scott II,OF,STL,3300,3.207951431495926,ML_Model,3.207951431495926,6.1,41.1%,19.8%,7.0%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Ryan Jeffers,C,MIN,3000,3.1763662059049462,ML_Model,3.1763662059049462,5.7,41.0%,19.7%,7.0%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Tim Tawa,1B,ARI,3300,3.159856045427807,ML_Model,3.159856045427807,1.4,40.9%,19.6%,6.9%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Trevor Larnach,OF,MIN,4000,3.0974556648251808,ML_Model,3.0974556648251808,7.5,40.6%,19.4%,6.8%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Matt Shaw,3B,CHC,3400,3.0577544708211373,ML_Model,3.0577544708211373,6.0,40.4%,19.3%,6.8%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Jac Caglianone,OF,KC,2500,3.0400240362614674,ML_Model,3.0400240362614674,6.4,40.3%,19.2%,6.7%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Ty France,1B,MIN,3300,2.940218811402021,ML_Model,2.940218811402021,5.2,39.8%,18.9%,6.6%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Nico Hoerner,2B,CHC,4000,2.915965070086958,ML_Model,2.915965070086958,6.8,39.7%,18.8%,6.5%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Jose Herrera,C,ARI,2400,2.855113066806822,ML_Model,2.855113066806822,4.4,39.4%,18.6%,6.4%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Pavin Smith,1B,ARI,3500,2.8480157047473584,ML_Model,2.8480157047473584,6.7,39.4%,18.6%,6.4%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Jonathan Aranda,1B,TB,4500,2.837240340931724,ML_Model,2.837240340931724,9.3,39.3%,18.5%,6.4%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
