Name,Pos,Team,Salary,My_Proj,Source,ML_Prediction,PPG_Projection,Prob_Over_5,Prob_Over_10,Prob_Over_15,Prob_Over_20,Prob_Over_25,Prob_Over_30,Prob_Over_35,Prob_Over_40,Prob_Over_45,Prob_Over_50
CJ Abrams,SS,WAS,5500,9.56139064536054,ML_Model,9.56139064536054,10.9,71.6%,47.8%,24.8%,9.6%,2.7%,0.5%,0.1%,0.0%,0.0%,0.0%
Jarren Duran,OF,BOS,4700,9.55860839190838,ML_Model,9.55860839190838,7.6,71.6%,47.8%,24.8%,9.6%,2.7%,0.5%,0.1%,0.0%,0.0%,0.0%
Jurickson Profar,OF,ATL,3400,9.429286816147131,ML_Model,9.429286816147131,7.2,71.0%,47.2%,24.3%,9.3%,2.6%,0.5%,0.1%,0.0%,0.0%,0.0%
Marcell Ozuna,OF,ATL,3800,9.409570647244758,ML_Model,9.409570647244758,7.5,70.9%,47.1%,24.2%,9.3%,2.6%,0.5%,0.1%,0.0%,0.0%,0.0%
Jake Mangum,OF,TB,4200,9.400710054984913,ML_Model,9.400710054984913,7.9,70.9%,47.0%,24.2%,9.3%,2.6%,0.5%,0.1%,0.0%,0.0%,0.0%
Lourdes Gurriel Jr.,OF,ARI,4000,9.371810144320362,ML_Model,9.371810144320362,7.1,70.8%,46.9%,24.1%,9.2%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%
Jake McCarthy,OF,ARI,2500,9.307189831519564,ML_Model,9.307189831519564,7.4,70.5%,46.5%,23.8%,9.1%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%
Drake Baldwin,C,ATL,3900,9.300916084068865,ML_Model,9.300916084068865,7.6,70.5%,46.5%,23.8%,9.1%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%
Jesus Sanchez,OF,MIA,3900,9.1,PPG_Projection,9.1,9.1,,,,,,,,,,
Trea Turner,SS,PHI,5700,9.085163077146252,ML_Model,9.085163077146252,9.5,69.5%,45.4%,23.0%,8.6%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%
Willi Castro,2B,MIN,3800,9.073829501958777,ML_Model,9.073829501958777,8.1,69.5%,45.4%,22.9%,8.6%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%
Brandon Nimmo,OF,NYM,4000,9.005497241784797,ML_Model,9.005497241784797,7.3,69.2%,45.1%,22.7%,8.5%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%
Brice Turang,2B,MIL,4500,9.001896069029927,ML_Model,9.001896069029927,8.7,69.2%,45.0%,22.7%,8.5%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%
Nathaniel Lowe,1B,WAS,3900,8.982738505092954,ML_Model,8.982738505092954,8.4,69.1%,44.9%,22.6%,8.4%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%
Tyler Stephenson,C,CIN,3700,8.915424630157698,ML_Model,8.915424630157698,7.1,68.8%,44.6%,22.3%,8.3%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%
Nolan Schanuel,1B,LAA,3900,8.873719034513218,ML_Model,8.873719034513218,7.8,68.6%,44.4%,22.2%,8.2%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%
Harrison Bader,OF,MIN,2700,8.774322284789353,ML_Model,8.774322284789353,5.0,68.1%,43.9%,21.8%,8.0%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%
Willson Contreras,1B,STL,4600,8.70478593153878,ML_Model,8.70478593153878,9.0,67.8%,43.6%,21.6%,7.9%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%
Carlos Narvaez,C,BOS,3500,8.7,PPG_Projection,8.7,8.7,,,,,,,,,,
Jordan Wicks,P,CHC,6700,8.7,PPG_Projection,8.7,8.7,,,,,,,,,,
Randal Grichuk,OF,ARI,2800,8.660802117364113,ML_Model,8.660802117364113,1.0,67.6%,43.4%,21.4%,7.8%,2.1%,0.4%,0.0%,0.0%,0.0%,0.0%
Paul DeJong,3B,WAS,2200,8.646002508220876,ML_Model,8.646002508220876,0.1,67.6%,43.3%,21.4%,7.8%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%
J.T. Realmuto,C,PHI,3600,8.645231263521723,ML_Model,8.645231263521723,7.2,67.6%,43.3%,21.3%,7.8%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%
Ronald Acuna Jr.,OF,ATL,6400,8.6,PPG_Projection,8.6,8.6,,,,,,,,,,
Jazz Chisholm Jr.,3B,NYY,5100,8.4048352637199,ML_Model,8.4048352637199,9.2,66.5%,42.1%,20.5%,7.4%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%
Cal Quantrill,P,MIA,6500,8.4,PPG_Projection,8.4,8.4,,,,,,,,,,
Austin Wells,C,NYY,3700,8.382073033409844,ML_Model,8.382073033409844,6.3,66.4%,42.0%,20.4%,7.3%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%
David Hamilton,2B,BOS,2700,8.342857167813593,ML_Model,8.342857167813593,5.3,66.2%,41.8%,20.3%,7.3%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%
Chandler Simpson,OF,TB,4500,8.341445598412758,ML_Model,8.341445598412758,9.3,66.2%,41.8%,20.3%,7.3%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%
Junior Caminero,3B,TB,5000,8.31169392245245,ML_Model,8.31169392245245,9.4,66.1%,41.6%,20.2%,7.2%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%
Christian Yelich,OF,MIL,4800,8.292695178838853,ML_Model,8.292695178838853,9.6,66.0%,41.6%,20.1%,7.2%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%
Taylor Ward,OF,LAA,4500,8.255711958608373,ML_Model,8.255711958608373,8.5,65.8%,41.4%,20.0%,7.1%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%
Salvador Perez,1B,KC,3400,8.25190586005911,ML_Model,8.25190586005911,7.4,65.8%,41.4%,19.9%,7.1%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%
Yandy Diaz,1B,TB,4600,8.2,PPG_Projection,8.2,8.2,,,,,,,,,,
Justin Turner,1B,CHC,2300,8.185000254648493,ML_Model,8.185000254648493,5.0,65.5%,41.0%,19.7%,7.0%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%
Byron Buxton,OF,MIN,6100,8.145120560416775,ML_Model,8.145120560416775,9.0,65.3%,40.8%,19.6%,6.9%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%
Starling Marte,OF,NYM,3700,8.034848585783875,ML_Model,8.034848585783875,7.2,64.8%,40.3%,19.2%,6.7%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%
Andres Gimenez,2B,TOR,3200,8.0,PPG_Projection,8.0,8.0,,,,,,,,,,
Ketel Marte,2B,ARI,6200,7.949980144347146,ML_Model,7.949980144347146,9.4,64.4%,39.9%,18.9%,6.6%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%
Michael Harris II,OF,ATL,3100,7.941822433676875,ML_Model,7.941822433676875,6.7,64.3%,39.8%,18.9%,6.6%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%
Brett Baty,2B,NYM,3400,7.919411040651039,ML_Model,7.919411040651039,6.2,64.2%,39.7%,18.8%,6.6%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%
Luis Garcia Jr.,2B,WAS,4600,7.9,PPG_Projection,7.9,7.9,,,,,,,,,,
Rhys Hoskins,1B,MIL,4100,7.893354675772455,ML_Model,7.893354675772455,6.4,64.1%,39.6%,18.7%,6.5%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%
TJ Friedl,OF,CIN,4000,7.885704370418235,ML_Model,7.885704370418235,7.5,64.1%,39.6%,18.7%,6.5%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%
Brandon Lowe,2B,TB,4800,7.865674943344591,ML_Model,7.865674943344591,9.4,64.0%,39.5%,18.6%,6.5%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%
Bryce Harper,1B,PHI,5200,7.85751362435063,ML_Model,7.85751362435063,9.5,64.0%,39.4%,18.6%,6.5%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%
Cody Bellinger,OF,NYY,4600,7.644159442253029,ML_Model,7.644159442253029,10.8,62.9%,38.4%,17.9%,6.1%,1.5%,0.3%,0.0%,0.0%,0.0%,0.0%
Agustin Ramirez,C,MIA,4200,7.6,PPG_Projection,7.6,7.6,,,,,,,,,,
Ozzie Albies,2B,ATL,3700,7.575350859622236,ML_Model,7.575350859622236,6.8,62.6%,38.1%,17.7%,6.0%,1.5%,0.3%,0.0%,0.0%,0.0%,0.0%
Spencer Steer,1B,CIN,3500,7.514654887795329,ML_Model,7.514654887795329,8.2,62.3%,37.8%,17.5%,5.9%,1.4%,0.2%,0.0%,0.0%,0.0%,0.0%
Ramon Laureano,OF,BAL,3900,7.5,PPG_Projection,7.5,7.5,,,,,,,,,,
Jack Kochanowicz,P,LAA,6700,7.5,PPG_Projection,7.5,7.5,,,,,,,,,,
Mike Trout,OF,LAA,5700,7.487957305357832,ML_Model,7.487957305357832,9.5,62.2%,37.7%,17.4%,5.9%,1.4%,0.2%,0.0%,0.0%,0.0%,0.0%
Elly De La Cruz,SS,CIN,5900,7.320974511059357,ML_Model,7.320974511059357,8.1,61.4%,36.9%,16.9%,5.6%,1.4%,0.2%,0.0%,0.0%,0.0%,0.0%
Ian Happ,OF,CHC,4100,7.1921342233082965,ML_Model,7.1921342233082965,6.8,60.8%,36.3%,16.5%,5.5%,1.3%,0.2%,0.0%,0.0%,0.0%,0.0%
Austin Hays,OF,CIN,4300,7.190520353639466,ML_Model,7.190520353639466,8.7,60.8%,36.3%,16.4%,5.5%,1.3%,0.2%,0.0%,0.0%,0.0%,0.0%
Xavier Edwards,2B,MIA,4300,7.08214560435813,ML_Model,7.08214560435813,9.8,60.3%,35.8%,16.1%,5.3%,1.3%,0.2%,0.0%,0.0%,0.0%,0.0%
William Contreras,C,MIL,4400,7.055433821012667,ML_Model,7.055433821012667,9.5,60.1%,35.6%,16.0%,5.3%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Abraham Toro,1B,BOS,3000,7.054442541899083,ML_Model,7.054442541899083,6.4,60.1%,35.6%,16.0%,5.3%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
DJ LeMahieu,2B,NYY,2800,7.02939363504337,ML_Model,7.02939363504337,5.8,60.0%,35.5%,16.0%,5.2%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Tyler O'Neill,OF,BAL,3700,7.01098017985574,ML_Model,7.01098017985574,7.3,59.9%,35.4%,15.9%,5.2%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Riley Adams,C,WAS,2300,6.9761961424372,ML_Model,6.9761961424372,1.3,59.8%,35.3%,15.8%,5.2%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Freddy Fermin,C,KC,2200,6.835973898338653,ML_Model,6.835973898338653,4.5,59.1%,34.6%,15.4%,5.0%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%
Edmundo Sosa,2B,PHI,3100,6.8,PPG_Projection,6.8,6.8,,,,,,,,,,
Dansby Swanson,SS,CHC,4200,6.796786767352975,ML_Model,6.796786767352975,7.2,58.9%,34.4%,15.3%,4.9%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Marcelo Mayer,2B,BOS,2800,6.769645727115185,ML_Model,6.769645727115185,7.3,58.8%,34.3%,15.2%,4.9%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Roman Anthony,OF,BOS,4000,6.735526390723042,ML_Model,6.735526390723042,8.4,58.6%,34.2%,15.1%,4.9%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
